Nome,Sobrenome,Email,Endereço,Data de Nascimento,Sexo,CPF
Pietro,Barbosa,laragao@yahoo.com.br,"Residencial de Silva, 42
Vila Pinho
66624721 Vieira / TO",25/02/1991,Feminino,061.437.852-44
Isabelly,Pereira,pmelo@ig.com.br,"Trecho Campos, 65
Independência
24537-813 Cavalcanti / PR",19/08/1991,Feminino,543.928.017-05
Maria Eduarda,Azevedo,costarafaela@dias.br,"Estrada Carolina Melo
Vila Aeroporto
76685-296 da Cruz de das Neves / AL",14/11/1980,Masculino,548.173.260-26
Vicente,Moreira,lorenzo22@uol.com.br,"Viela Rodrigues, 77
Ribeiro De Abreu
12700-951 Jesus / RJ",13/01/1934,Masculino,267.150.438-17
Samuel,Ferreira,isadora80@yahoo.com.br,"Estação de da Conceição, 2
Cinquentenário
15828701 Fernandes da Prata / AP",23/03/1958,Feminino,827.169.354-91
Luiz Miguel,da Mata,almeidapedro-lucas@ig.com.br,"Viela de Caldeira, 54
Vila Ipiranga
19227-467 Alves Paulista / PA",14/07/1978,Masculino,879.510.346-57
Júlia,da Costa,pcavalcanti@barbosa.br,"Vale Azevedo, 14
Antonio Ribeiro De Abreu 1ª Seção
02021-712 da Mota da Praia / PR",19/04/1966,Feminino,659.431.802-06
Marcos Vinicius,Moreira,bcarvalho@ig.com.br,"Ladeira Nicolas Castro, 30
Engenho Nogueira
21625048 Peixoto do Oeste / AL",04/12/1977,Feminino,946.807.123-50
Ana Luiza,Pires,ana24@gmail.com,"Área Rafael Castro
Alípio De Melo
73884407 Dias / MS",15/05/1990,Feminino,438.059.671-01
Emanuelly,da Rocha,manuela35@bol.com.br,"Aeroporto de Correia, 6
Fazendinha
80304080 Novaes / MG",02/08/1952,Feminino,147.082.356-07
Matheus,Campos,esthercavalcanti@carvalho.com,"Lagoa Daniela da Rosa, 718
Salgado Filho
05763757 Cunha de Pereira / PA",01/09/1939,Feminino,906.587.132-21
André,Cardoso,isaacribeiro@gmail.com,"Viela Viana, 974
Serra
71256-536 da Cunha / AL",08/07/1988,Feminino,645.983.720-10
Sofia,Nogueira,davi40@da.com,"Rodovia de Porto, 9
Vila Santa Monica 1ª Seção
24173-745 da Rosa / MA",19/03/1991,Feminino,379.068.254-38
Francisco,Novaes,pereirayuri@barbosa.com,"Campo Ana Lívia Cavalcanti, 26
Urca
27474-772 Porto / MS",22/11/2004,Feminino,513.728.469-64
Noah,Nogueira,maysa11@ig.com.br,"Praia de Rodrigues, 792
Conjunto Bonsucesso
27126231 Rocha do Galho / RO",03/01/1997,Masculino,703.218.495-23
Lavínia,da Luz,antoniomelo@freitas.org,"Campo de Silva, 13
Parque São José
49609-042 Gonçalves Alegre / AP",11/04/1966,Masculino,352.716.980-68
Heitor,Barros,samuel25@gmail.com,"Esplanada da Cunha, 84
Vila Nossa Senhora Do Rosário
40332057 Vieira / SE",26/05/1965,Masculino,387.120.459-50
Elisa,Farias,teixeiralucca@moraes.com,"Praia Lima, 15
Providencia
14479-484 Cunha de Goiás / PI",22/06/1992,Feminino,869.104.357-10
João Guilherme,Silveira,joao-pedro14@ig.com.br,"Morro Agatha Castro
Maria Tereza
00980427 da Luz / TO",12/12/1970,Masculino,349.768.501-10
Brenda,Viana,ojesus@hotmail.com,"Condomínio Gabriel Rezende, 46
Vila Nova Cachoeirinha 2ª Seção
00997897 Rodrigues / CE",04/07/1939,Feminino,398.470.251-50
Valentina,Porto,lopesthiago@gmail.com,"Feira Gustavo Henrique Dias, 15
Leonina
58164522 Cavalcanti da Praia / RS",10/04/1952,Masculino,309.824.567-00
Maria Sophia,Carvalho,piresmaria-fernanda@ig.com.br,"Jardim Maria Sophia da Mota
Vista Alegre
21685054 Santos de Minas / AC",06/03/1955,Feminino,014.965.738-20
Sabrina,Moreira,ujesus@ig.com.br,"Residencial João Miguel Nascimento, 94
Acaba Mundo
23694-366 da Mota da Mata / BA",15/07/1947,Feminino,934.857.062-56
Pietra,da Cunha,da-luzsofia@nunes.com,"Trecho Moreira, 86
Vila Paraíso
91775405 Gonçalves de Pires / DF",09/06/1962,Masculino,036.954.128-60
Marcos Vinicius,Nascimento,da-rochapaulo@cavalcanti.com,"Lagoa Diogo Correia, 97
Brasil Industrial
22804772 da Luz / SC",20/12/1962,Feminino,294.358.107-05
Vicente,Carvalho,ana-vitoriapeixoto@nascimento.br,"Avenida de Moura, 22
Garças
20846-909 Santos de Ramos / GO",09/09/1990,Feminino,205.196.834-98
Isaac,Costela,jnovaes@yahoo.com.br,"Travessa Ana Beatriz da Cruz, 28
Novo Das Industrias
41882-929 Moraes / RN",16/02/1973,Feminino,971.358.402-32
Stephany,Martins,ferreirasophia@alves.br,"Aeroporto Mariana Mendes
Monte Azul
46103-232 Duarte da Prata / DF",09/09/1996,Feminino,971.042.658-30
João Vitor,Rocha,esther44@moura.com,"Jardim Cauê das Neves, 82
Lourdes
28362654 da Conceição de Duarte / MA",09/11/1965,Masculino,495.361.807-66
Heloísa,Nogueira,qmonteiro@duarte.br,"Rodovia de Ramos
Vila São Francisco
08194-098 Costa da Prata / GO",27/12/1984,Masculino,953.140.726-61
João Miguel,Rodrigues,duartebeatriz@gmail.com,"Residencial Luna Costela, 8
Nova Cachoeirinha
36375324 Pires / RS",11/01/1981,Feminino,760.495.821-49
Ana Sophia,Castro,vlopes@hotmail.com,"Via de Barros, 26
Vila Primeiro De Maio
45427121 Caldeira / PI",06/11/1933,Feminino,536.948.270-56
Isadora,Moraes,vitor-hugojesus@gomes.br,"Lago de Novaes, 89
Ápia
81505-159 Fogaça / AP",04/01/1972,Masculino,875.069.134-10
Benício,da Cruz,clarice68@rezende.br,"Esplanada de Souza, 1
Olhos D'água
15312-721 Melo do Oeste / PE",23/09/1951,Masculino,076.198.235-30
Marcelo,das Neves,giovannamoreira@gmail.com,"Chácara Emanuelly Araújo
Suzana
01308233 Rezende / RS",02/06/1961,Masculino,049.163.852-33
Lorenzo,da Luz,pedro58@caldeira.br,"Campo da Costa, 20
Nova Gameleira
66491-384 Mendes / SE",24/10/1978,Masculino,293.145.867-82
Heitor,Cunha,augusto48@ramos.net,"Esplanada de Aragão, 15
Camponesa 2ª Seção
64780-398 Viana Verde / DF",09/09/1977,Feminino,936.715.284-19
Vinicius,Aragão,catarina57@uol.com.br,"Lagoa de da Cruz, 348
Cônego Pinheiro 2ª Seção
20397798 Novaes / DF",15/12/1970,Masculino,845.107.963-66
Vitor,Melo,araujovicente@da.br,"Estação de da Conceição, 74
Beira Linha
67671-026 Ribeiro / BA",20/02/1963,Feminino,639.827.514-46
Clara,Ribeiro,anthonyrezende@carvalho.com,"Rodovia Renan Azevedo, 601
Nazare
78254107 Monteiro / MT",11/07/1987,Feminino,978.014.265-76
Calebe,da Mota,erodrigues@sales.br,"Feira Pires, 45
Vila Santo Antônio
16018-143 Cunha / MA",29/02/1940,Feminino,608.973.215-02
Sofia,Campos,maria-clara80@ramos.br,"Parque de Aragão, 27
Vila Da Luz
96236849 Sales de Nascimento / SP",13/09/1971,Masculino,462.180.753-62
Raul,Cardoso,wmoraes@gmail.com,"Praia Cunha, 73
Castelo
56430554 da Rocha / MG",06/08/1990,Masculino,820.149.365-60
Marina,Mendes,ana-julia11@teixeira.br,"Aeroporto Castro, 28
Havaí
56387972 Aragão / GO",25/02/1934,Feminino,782.435.160-26
Cecília,Ribeiro,grocha@melo.com,"Travessa de Cunha, 84
Heliopolis
22390820 Silva / SP",10/07/1963,Feminino,432.985.071-05
Theo,Araújo,joao-lucassales@fernandes.net,"Lago Lucca Moura, 938
Maria Helena
38323963 da Luz / AL",03/03/1967,Feminino,780.125.396-59
Raquel,Teixeira,luiz-miguelsales@costa.com,"Loteamento Nogueira, 8
Jardim América
46664943 Martins / PI",03/03/1990,Feminino,286.541.039-06
Igor,Duarte,emoraes@yahoo.com.br,"Chácara Gustavo Henrique Lima, 70
Dom Cabral
70138053 da Paz de Minas / RN",27/03/1946,Feminino,058.427.136-08
Alexia,Costa,marcos-vinicius91@cardoso.com,"Aeroporto Oliveira, 63
Vila Cloris
29576-682 Aragão da Mata / MG",14/07/1963,Feminino,397.248.156-09
Luiz Fernando,da Luz,igorsouza@cunha.com,"Distrito Teixeira, 98
São Geraldo
85774-593 Jesus / ES",20/03/1952,Feminino,285.410.367-07
Felipe,Souza,julianaramos@barbosa.org,"Setor Clarice Costela
Concórdia
91287-534 Pires / PB",28/09/1991,Feminino,169.543.728-46
Valentina,da Costa,ana-julia23@lopes.net,"Passarela Cauê da Rocha, 25
Pantanal
64710692 Caldeira do Galho / DF",11/01/1956,Feminino,126.593.874-19
Felipe,Melo,ualmeida@da.com,"Ladeira Cunha, 31
Vista Alegre
59928-939 Ferreira / SP",11/05/1984,Masculino,527.946.381-73
Marcela,Martins,salesdavi-luiz@hotmail.com,"Favela de Aragão, 5
Bela Vitoria
49838-715 Lopes de Nunes / RJ",03/05/1948,Feminino,879.652.301-86
Letícia,Almeida,udias@ig.com.br,"Passarela da Cruz, 78
Conjunto Califórnia Ii
97686-528 Barbosa de Caldeira / SP",22/03/1934,Feminino,743.082.951-14
Nina,Araújo,zsantos@costela.com,"Estação Emanuel Cunha, 37
Santa Rita
42601112 Costela do Oeste / MT",15/01/1965,Feminino,019.825.374-50
Esther,da Paz,vicente32@uol.com.br,"Alameda Olivia Nunes, 19
Madre Gertrudes
43703087 Silveira do Campo / ES",18/10/1979,Masculino,350.467.291-99
Maria Luiza,Caldeira,tporto@hotmail.com,"Conjunto Juliana Viana, 99
São Damião
56825-664 Rezende Grande / PI",26/07/1989,Masculino,348.520.691-15
Sarah,da Rocha,laviniada-paz@gmail.com,"Aeroporto Juan Aragão, 71
São Marcos
27630493 Santos / RN",23/11/1953,Feminino,729.615.840-94
Raquel,Correia,carolinarezende@ig.com.br,"Travessa Gustavo Henrique Rezende, 52
Grajaú
60331418 Oliveira / AM",07/12/1952,Feminino,547.602.318-62
Pedro Henrique,Costela,lduarte@yahoo.com.br,"Largo de Fernandes, 2
Vila Pilar
20227-855 Rodrigues de Goiás / PR",18/10/1934,Masculino,087.914.325-88
Nicole,Silveira,acostela@yahoo.com.br,"Conjunto de Martins, 73
Santa Amelia
04414250 Silva / PE",20/09/1972,Feminino,710.238.546-35
João Miguel,Nascimento,bryanda-costa@costa.net,"Viela Rodrigues
São Gabriel
57283-013 Melo de Pinto / RR",26/07/1975,Feminino,921.058.736-77
Igor,Lima,diasjuan@da.net,"Largo Nascimento, 4
Palmares
18898330 Pereira / MT",06/12/1952,Feminino,820.147.693-03
Isabella,Cardoso,leonardosilveira@bol.com.br,"Morro Gabrielly Sales, 518
Liberdade
73750518 Novaes / RN",23/03/1959,Feminino,564.073.198-20
Pedro Henrique,Ramos,bpires@almeida.org,"Travessa Moreira, 88
Jaqueline
14078-508 Cunha das Flores / RO",15/03/1948,Feminino,035.684.179-01
Bryan,Melo,luigiazevedo@hotmail.com,"Favela das Neves, 54
Jaraguá
01947418 Lima / MG",28/06/1952,Feminino,692.450.371-34
Alícia,Monteiro,rcavalcanti@moraes.br,"Largo Sabrina Barros, 421
Alto Barroca
31712-825 Fogaça das Flores / BA",18/11/2000,Feminino,297.645.318-73
Sophie,Lopes,wda-mota@da.com,"Vila Juan da Paz, 49
Miramar
46507680 Souza / MS",10/08/1974,Feminino,053.279.684-56
Nathan,da Cruz,camposluiz-felipe@ig.com.br,"Viaduto Olivia Silveira, 370
Tirol
25619-890 Cavalcanti / RN",10/10/1959,Masculino,268.143.075-53
Beatriz,Pires,pietrofarias@gmail.com,"Viaduto de da Cunha, 83
Apolonia
90062-456 Caldeira Verde / PB",03/10/1962,Feminino,572.681.049-01
Maria Vitória,Dias,arthurda-rocha@oliveira.br,"Rua Rafaela Martins, 9
Belvedere
52684-747 Aragão do Campo / MT",21/05/1948,Feminino,583.914.762-19
Felipe,Pinto,emartins@gmail.com,"Sítio João Vitor Costela, 867
Lagoa
15433115 Carvalho / AL",20/06/1994,Masculino,358.690.247-65
Agatha,da Luz,qcorreia@da.org,"Sítio de Fogaça, 25
Petropolis
22079714 das Neves de Minas / AL",14/01/1997,Feminino,685.309.724-65
Cauê,da Costa,gabriela24@gmail.com,"Núcleo Bianca Sales, 409
Gameleira
36556017 da Conceição Verde / MG",15/02/1986,Masculino,830.152.749-88
Felipe,Rodrigues,vicente31@bol.com.br,"Estação Barbosa, 48
Vila Calafate
41686-997 da Rosa de Minas / SP",11/04/2006,Masculino,712.405.638-17
Gustavo,Cardoso,diego13@uol.com.br,"Quadra Alexandre Costa, 60
Sagrada Família
48534570 Cavalcanti / RR",19/02/1952,Feminino,091.264.538-51
Diego,Fernandes,mda-conceicao@hotmail.com,"Viaduto Natália Carvalho, 449
Vila Coqueiral
76734-209 Cardoso / PR",16/08/1953,Feminino,618.293.507-30
Eduarda,Campos,pintojulia@uol.com.br,"Colônia Correia, 70
Leticia
09505969 Viana / AC",14/02/1943,Masculino,647.309.512-80
Valentina,Moreira,camposbarbara@yahoo.com.br,"Conjunto Kevin Costa, 38
Flavio De Oliveira
04689-466 Fogaça / PR",11/08/1984,Feminino,754.618.239-55
Agatha,da Mata,peixotosabrina@peixoto.br,"Passarela Campos, 16
Floresta
78983-380 Freitas de Pinto / CE",02/02/1947,Masculino,630.517.248-07
Ana Vitória,da Mata,oliviasantos@hotmail.com,"Lagoa de Silveira, 690
Padre Eustáquio
37437374 Castro / ES",22/05/1968,Masculino,182.930.647-22
Erick,da Costa,castrogustavo@mendes.br,"Largo Monteiro, 519
Aarão Reis
03172-342 Costela / MT",23/10/1941,Feminino,780.429.351-88
Luigi,da Conceição,clopes@nogueira.br,"Largo Barbosa
São Benedito
46018287 Jesus do Amparo / PE",27/02/1942,Feminino,162.840.357-80
Bruna,Martins,lararibeiro@silveira.br,"Via de da Costa, 8
Graça
44697310 Almeida / RO",07/12/1938,Masculino,489.025.367-00
Murilo,Lima,pedro-miguelcostela@bol.com.br,"Área da Cruz, 7
Vila São João Batista
91968735 Souza / PA",28/12/1953,Feminino,529.834.617-00
Ian,da Cunha,joao-guilherme55@yahoo.com.br,"Recanto Nathan Azevedo, 57
Alta Tensão 2ª Seção
13540563 Costa / RJ",03/10/1942,Feminino,167.432.509-61
Davi,Mendes,ana-claracosta@peixoto.org,"Quadra Nascimento
Pindura Saia
06441-363 Porto / SP",11/07/1970,Feminino,091.647.285-01
Arthur,Viana,ucardoso@yahoo.com.br,"Praça de Peixoto, 1
Pindura Saia
01839-463 Alves Paulista / BA",17/03/1939,Feminino,619.735.428-46
Bianca,Viana,pereiraagatha@yahoo.com.br,"Rua Laís Rodrigues, 7
Penha
22736-616 Almeida / AM",20/01/1999,Masculino,892.163.405-33
Diogo,Almeida,da-motapietro@cavalcanti.br,"Condomínio de Nunes, 413
Cônego Pinheiro 1ª Seção
15525-714 da Cunha de Gonçalves / MG",15/03/2003,Masculino,731.648.902-22
Paulo,Costa,wmoreira@souza.com,"Parque Alice Viana, 60
Jonas Veiga
33592-266 Campos do Galho / SC",19/04/1972,Masculino,354.209.168-51
Yago,Nunes,santoslorena@gmail.com,"Vereda Vitor Ferreira, 718
Mariquinhas
98050-209 Oliveira / MS",29/07/1979,Feminino,245.690.381-15
Alexandre,Fogaça,gduarte@barros.com,"Trevo Sarah Silveira
Vila Nova Gameleira 3ª Seção
40428-373 Carvalho / PR",10/12/1935,Feminino,814.532.906-05
Danilo,Moraes,freitaslorenzo@correia.org,"Vale Gomes, 682
Diamante
92852-626 Nogueira Paulista / PA",14/04/1980,Feminino,507.249.618-01
Julia,Ferreira,liviada-mota@nogueira.org,"Trevo Júlia Barros, 9
Brasil Industrial
79524-254 Rezende de Ferreira / AL",13/10/1994,Masculino,312.479.086-31
Anthony,Monteiro,tfogaca@bol.com.br,"Campo de Jesus, 743
Itapoa
57889745 Nogueira das Pedras / BA",08/02/1946,Feminino,153.046.789-66
Agatha,Monteiro,cunhamaria-sophia@gmail.com,"Vila Souza
Vila Independencia 1ª Seção
48449776 Costa das Flores / PA",14/04/1972,Masculino,635.028.741-07
João,Nunes,mendesmanuela@ig.com.br,"Loteamento de Barbosa
Ernesto Nascimento
85273-180 Teixeira de Lopes / BA",30/01/1946,Masculino,460.213.857-80
Yasmin,Pinto,diego87@da.com,"Avenida Araújo, 644
João Alfredo
53094-119 Silveira de Minas / MA",23/12/1967,Feminino,915.340.287-14
Cecília,Cunha,moreiraantonio@da.com,"Sítio de Rodrigues, 33
Ambrosina
82381178 Gonçalves de Caldeira / RN",19/10/1957,Feminino,874.210.659-11
Emanuel,Jesus,xcavalcanti@da.com,"Feira da Mota, 30
Cidade Nova
18756-210 da Mata de Cardoso / AC",18/06/1959,Masculino,621.893.075-03
Nina,Fogaça,joao-guilherme29@farias.com,"Condomínio Azevedo
Madre Gertrudes
43820-701 Cardoso do Galho / TO",23/12/1967,Feminino,812.045.937-79
Enzo Gabriel,da Costa,nicole36@bol.com.br,"Trevo Teixeira, 15
Cidade Jardim Taquaril
94689210 Gomes / PR",23/08/1969,Feminino,042.986.137-04
Paulo,Freitas,guilhermebarros@aragao.br,"Campo da Cunha, 8
Jardim Montanhês
70286416 Viana dos Dourados / TO",20/03/1989,Feminino,975.234.618-91
Murilo,das Neves,tmoraes@hotmail.com,"Chácara Paulo Moura, 33
Vila São Francisco
11384236 Rocha do Norte / CE",11/03/1955,Masculino,362.598.710-40
Fernando,Barbosa,maria-eduarda88@da.org,"Praça de Melo, 961
Barroca
52297-744 Gonçalves das Pedras / CE",04/01/1990,Feminino,053.296.841-70
Maria Eduarda,Costela,enzo-gabrielmoraes@barbosa.br,"Trevo de Nascimento, 719
Betânia
70764-859 Viana / PA",17/06/1974,Feminino,984.230.675-56
Rebeca,Peixoto,maria-vitoria43@ig.com.br,"Sítio de Lopes, 62
Vila Inestan
04510480 Gomes / BA",28/05/1993,Masculino,480.513.276-08
João Felipe,Barros,das-neveslevi@martins.com,"Fazenda da Rocha, 18
Estoril
96113-839 Duarte / RJ",19/06/1984,Masculino,217.803.495-05
Enrico,Azevedo,valentinacastro@moraes.org,"Aeroporto Thomas Duarte, 45
Cachoeirinha
40707-484 Fogaça / RS",07/11/1958,Masculino,190.673.825-40
Mariane,Costela,lopeslucas@yahoo.com.br,"Avenida Martins, 495
São Vicente
20370197 Ribeiro / RJ",07/01/1939,Feminino,480.976.513-00
Alexia,Souza,stephanymartins@uol.com.br,"Sítio de Souza
Carlos Prates
75266907 Rodrigues / AM",22/04/1949,Feminino,871.243.695-09
Laís,Almeida,sabrina35@bol.com.br,"Viaduto João Guilherme da Rocha, 2
Vila Oeste
95683-697 Jesus do Amparo / MA",26/01/1992,Masculino,457.190.286-76
Luna,Gomes,marinadias@yahoo.com.br,"Trevo Viana, 4
Novo Das Industrias
70514834 Cavalcanti / AP",20/07/1959,Masculino,043.816.572-17
Sabrina,da Costa,goncalvesheloisa@uol.com.br,"Rua das Neves, 76
Marajó
82551401 Melo / RJ",06/04/1963,Masculino,764.108.259-94
Nathan,Moraes,marcelo43@ig.com.br,"Trevo Santos
Lajedo
67279-642 Nogueira / BA",28/09/2001,Feminino,169.704.532-43
Breno,Vieira,felipe58@ig.com.br,"Quadra Rebeca Cavalcanti, 7
Ambrosina
76271506 Pires do Oeste / RS",13/12/1994,Masculino,045.879.632-83
Raul,Alves,gomesluiz-fernando@yahoo.com.br,"Vale Sales
Vila Copacabana
08675834 das Neves da Praia / AC",07/01/2004,Masculino,307.254.981-88
Pietra,da Conceição,rcosta@pinto.br,"Fazenda da Luz, 14
Corumbiara
08614-545 Cardoso do Campo / RS",20/05/1998,Feminino,674.895.102-01
Guilherme,Duarte,isaacoliveira@da.br,"Praia Cardoso, 1
Piraja
18759-743 Silva / MS",12/09/1990,Feminino,092.637.158-40
Stella,da Paz,giovannarodrigues@peixoto.br,"Quadra de Cardoso, 835
São Tomaz
54937957 da Costa / ES",13/11/1955,Masculino,468.517.023-71
Nicolas,Nascimento,isabellyviana@duarte.br,"Chácara Diogo Oliveira, 87
Frei Leopoldo
50590256 Carvalho / ES",07/03/1979,Masculino,820.975.436-00
Luiz Gustavo,Souza,ana-juliaferreira@gmail.com,"Aeroporto de Fernandes
Vitoria
45680929 Duarte / MG",03/12/1968,Feminino,719.245.068-58
Diego,Oliveira,garagao@uol.com.br,"Fazenda de Correia, 3
Antonio Ribeiro De Abreu 1ª Seção
76094-393 Novaes / BA",27/07/1943,Feminino,358.491.762-09
Luiz Miguel,Cavalcanti,ualves@ig.com.br,"Chácara de Rezende, 56
Mariano De Abreu
43491339 Cunha / RS",10/03/1965,Feminino,621.098.534-33
Alice,Dias,luiz-felipe28@gmail.com,"Loteamento de da Rocha, 4
Nova Esperança
89112-890 Nunes / MT",30/12/1954,Feminino,029.417.368-40
Leandro,Fernandes,freitasalexia@hotmail.com,"Fazenda de Correia, 36
Conjunto São Francisco De Assis
06836-974 Silva / RR",15/10/1995,Masculino,408.271.635-17
Francisco,Teixeira,franciscorocha@correia.br,"Rua Santos, 6
Marmiteiros
03950-803 da Cruz Alegre / MT",16/04/1949,Feminino,231.549.860-06
Leandro,Pereira,camposigor@gmail.com,"Distrito de Fogaça, 1
Bonfim
75736286 Monteiro / RN",19/12/1938,Masculino,086.137.295-68
Julia,da Cruz,gabriel26@hotmail.com,"Via Freitas, 29
São Benedito
00272636 Aragão Verde / MT",23/04/1970,Feminino,924.586.031-06
João Miguel,Novaes,diogocampos@gmail.com,"Lagoa Rezende, 636
Santa Rita De Cássia
29258691 Viana de Goiás / SP",01/09/1954,Feminino,106.784.592-58
