Nome,Sobrenome,Email,Endereço,Data de Nascimento,Sexo,CPF
Theo,Sales,barroselisa@melo.org,"Passarela Benjamin Lopes
Minas Brasil
57448078 Moraes de Goiás / SE",09/09/1933,Feminino,840.167.923-04
Juan,Nascimento,raquel30@hotmail.com,"Fazenda Dias
Marmiteiros
84727075 Nunes das Pedras / PB",21/09/1980,Feminino,215.639.047-99
Kevin,Correia,gnunes@gomes.org,"Esplanada de da Paz
Nazare
17420714 Sales / AP",17/05/1972,Feminino,260.537.148-44
Nathan,Mendes,laviniacardoso@porto.com,"Trevo da Cunha, 483
Vila Real 1ª Seção
98031-539 da Mata / AM",24/10/1957,Masculino,782.134.659-46
Maria Fernanda,Barros,jsilveira@duarte.org,"Núcleo da Rosa, 78
Santa Helena
59528312 Porto Verde / SC",14/06/2003,Masculino,913.250.874-32
Marina,Pereira,dbarbosa@nogueira.br,"Condomínio da Cunha
Vila Esplanada
66597341 Campos / BA",10/11/1942,Masculino,941.076.532-34
Ana Luiza,da Costa,barrosstella@aragao.br,"Largo Stella Alves
Conjunto Jardim Filadélfia
09803115 Castro do Oeste / SE",22/10/1981,Feminino,280.163.745-90
João,Nunes,mendesmanuela@ig.com.br,"Loteamento de Barbosa
Ernesto Nascimento
85273-180 Teixeira de Lopes / BA",30/01/1946,Masculino,460.213.857-80
Ian,Pereira,anthonycardoso@campos.net,"Loteamento Lopes, 10
Delta
03941-153 Oliveira de Almeida / SP",09/12/1950,Feminino,325.681.047-08
Maria Fernanda,Vieira,ana-julia97@bol.com.br,"Viaduto Joaquim da Rosa, 87
Guaratã
21939038 Freitas de Almeida / SP",30/10/1993,Masculino,658.197.302-59
Francisco,Silveira,fferreira@da.org,"Distrito Gabrielly Carvalho, 73
Granja De Freitas
91042-440 Freitas dos Dourados / PE",22/05/2000,Feminino,684.157.230-08
Gabrielly,Pires,oliviasouza@bol.com.br,"Condomínio de Sales, 85
João Paulo Ii
09464877 Vieira / MS",07/07/1954,Masculino,342.590.187-79
Gabrielly,Souza,caue57@bol.com.br,"Praça Almeida, 67
São Francisco
65092-891 da Cunha do Amparo / PE",31/12/1990,Feminino,078.569.431-57
Julia,Ferreira,liviada-mota@nogueira.org,"Trevo Júlia Barros, 9
Brasil Industrial
79524-254 Rezende de Ferreira / AL",13/10/1994,Masculino,312.479.086-31
Lucas,Monteiro,da-conceicaoigor@ramos.com,"Área Maysa Martins, 4
Novo Tupi
81968-373 Pires de Minas / BA",31/05/2005,Masculino,945.613.870-48
Cauê,Gonçalves,zbarros@martins.com,"Residencial Maysa Almeida, 10
Beija Flor
73650689 Silveira das Flores / SC",20/04/1943,Masculino,061.352.489-60
Antônio,da Costa,silvaana@bol.com.br,"Estrada João Felipe Caldeira, 96
Vila São Rafael
69897-477 Lima / RN",05/01/1993,Masculino,493.612.870-87
Raul,da Mata,alice70@gmail.com,"Passarela de da Mota, 70
Marmiteiros
02065-007 da Cruz de Costa / AP",15/08/1952,Masculino,851.762.904-30
Raquel,Cunha,clararodrigues@da.net,"Fazenda de Pires, 44
Boa Vista
47752451 Novaes de Minas / MA",22/10/1953,Masculino,803.264.971-96
Davi Lucas,Moraes,julia45@gmail.com,"Vale de da Rocha, 30
Marajó
04155-552 Ferreira / AC",25/10/1966,Masculino,214.538.769-28
João Lucas,Araújo,igor38@uol.com.br,"Recanto Porto, 91
Confisco
58968900 Almeida / MS",11/02/1990,Feminino,791.843.605-93
Nathan,Ribeiro,sophie11@ig.com.br,"Vale de Santos, 595
São Bernardo
30896-686 Mendes Alegre / RN",07/04/1959,Masculino,140.823.657-53
Sophie,Teixeira,diasmanuela@cardoso.br,"Favela de Cunha, 9
Vera Cruz
36287011 Monteiro / SC",12/06/1964,Feminino,804.256.397-38
Eduarda,Sales,eloah39@da.com,"Favela de Novaes
Horto
25218-860 da Conceição / PB",20/09/1936,Feminino,014.597.286-02
Vinicius,Moreira,lopesluiz-henrique@hotmail.com,"Rua da Mata, 44
Petropolis
37111311 Ferreira do Campo / AL",12/01/1968,Masculino,532.197.086-68
João Vitor,Cardoso,joao60@hotmail.com,"Sítio Kaique Azevedo, 22
Vila Dos Anjos
30824984 da Cunha das Pedras / BA",28/11/2000,Masculino,514.287.096-49
Nicole,da Mata,aragaoanthony@ig.com.br,"Rodovia de da Luz, 92
Santo Antônio
04501502 Cunha / TO",29/09/1989,Masculino,574.231.986-09
André,Lopes,juliaalves@hotmail.com,"Favela de Oliveira, 53
Cabana Do Pai Tomás
51221846 Peixoto / CE",10/06/1996,Feminino,196.372.548-46
Ana Sophia,da Cruz,davi79@castro.com,"Chácara de Costa
Eymard
74457-199 Cavalcanti da Serra / RN",21/06/1983,Feminino,029.184.576-20
Pietra,Lima,mariana14@ferreira.com,"Praça Gabrielly Silveira, 81
Piraja
92974-752 Rodrigues Alegre / GO",15/01/1988,Masculino,169.280.437-50
Luiz Fernando,da Luz,igorsouza@cunha.com,"Distrito Teixeira, 98
São Geraldo
85774-593 Jesus / ES",20/03/1952,Feminino,285.410.367-07
Evelyn,Duarte,tcunha@yahoo.com.br,"Núcleo Bianca Costa, 50
Cônego Pinheiro 1ª Seção
65951-509 Lopes / RJ",03/12/1954,Masculino,475.108.326-08
Leandro,Fogaça,isislima@bol.com.br,"Rodovia da Costa
Rio Branco
29064-688 Mendes / PE",09/02/1994,Masculino,015.396.728-59
Marcela,Alves,moraesmiguel@goncalves.com,"Aeroporto Araújo, 676
Andiroba
73817134 Cunha / GO",27/09/1952,Feminino,398.167.502-95
Alícia,Moraes,jesusagatha@uol.com.br,"Recanto Amanda Aragão, 85
Belmonte
61027-194 Dias Verde / AM",18/02/1983,Feminino,259.087.613-03
Theo,Moura,claracampos@hotmail.com,"Passarela Bárbara Peixoto, 67
Estrela Do Oriente
06227632 Mendes da Prata / PE",30/11/1990,Masculino,968.243.710-50
Rafaela,Azevedo,elisa84@ferreira.net,"Viela Mendes, 4
Dona Clara
86874-605 Rocha / AM",21/08/1988,Feminino,827.651.930-02
João Felipe,Caldeira,marcelo69@yahoo.com.br,"Lagoa Lavínia da Costa, 50
Unidas
60498-738 Cardoso / AM",22/05/1979,Masculino,387.561.240-07
Maria,Nunes,thalesjesus@bol.com.br,"Fazenda Duarte, 65
Renascença
34715-859 Cavalcanti / PB",27/02/1967,Masculino,957.341.028-14
Lucas,Gomes,msantos@nunes.br,"Parque Fogaça, 97
Tres Marias
19049-602 Mendes das Flores / AC",11/09/1972,Feminino,318.467.520-35
Amanda,Fogaça,gmonteiro@dias.com,"Alameda de da Paz
Concórdia
19131905 Pinto da Praia / MA",18/11/1968,Masculino,745.821.639-55
Letícia,Almeida,udias@ig.com.br,"Passarela da Cruz, 78
Conjunto Califórnia Ii
97686-528 Barbosa de Caldeira / SP",22/03/1934,Feminino,743.082.951-14
Leonardo,das Neves,ramosyasmin@rodrigues.org,"Praça Monteiro, 48
Caiçara - Adelaide
44141-463 Cunha da Mata / RO",20/11/1953,Feminino,420.853.976-38
Leandro,das Neves,uda-luz@bol.com.br,"Morro Ana Clara Pinto, 46
Silveira
70011245 da Luz / RN",07/07/1965,Feminino,079.256.843-56
Amanda,Cunha,kevinporto@ig.com.br,"Vereda Jesus, 74
Alto Caiçaras
36902-361 Gomes da Serra / AM",17/08/1942,Masculino,923.075.468-47
Augusto,Caldeira,lfernandes@carvalho.br,"Colônia Nunes, 99
Jardim Do Vale
82412-062 Vieira das Pedras / PA",20/12/1961,Masculino,926.135.407-61
Pedro Henrique,Costela,lduarte@yahoo.com.br,"Largo de Fernandes, 2
Vila Pilar
20227-855 Rodrigues de Goiás / PR",18/10/1934,Masculino,087.914.325-88
Raquel,Cardoso,yasminnascimento@ig.com.br,"Residencial de Dias, 41
Pilar
75731-735 Alves dos Dourados / RS",31/10/1991,Feminino,659.714.238-19
Clara,da Costa,wcaldeira@ig.com.br,"Avenida de da Rocha, 48
São Damião
98081498 Silveira / PI",15/11/1980,Masculino,301.928.574-79
Ana,Oliveira,eda-cruz@yahoo.com.br,"Campo Yuri Castro, 8
Campo Alegre
20337808 Barros de Cardoso / AC",14/10/1997,Feminino,129.084.375-97
Alexia,Souza,stephanymartins@uol.com.br,"Sítio de Souza
Carlos Prates
75266907 Rodrigues / AM",22/04/1949,Feminino,871.243.695-09
Kaique,Rodrigues,yda-paz@gmail.com,"Quadra Araújo
Guaratã
55965-085 da Rocha do Amparo / AL",29/09/1998,Feminino,273.648.059-74
Samuel,Ferreira,isadora80@yahoo.com.br,"Estação de da Conceição, 2
Cinquentenário
15828701 Fernandes da Prata / AP",23/03/1958,Feminino,827.169.354-91
Davi Luiz,Pinto,marcos-viniciusda-costa@da.com,"Ladeira Joana Campos, 66
Cidade Nova
02166263 Moura / PE",26/03/1991,Masculino,791.435.086-93
Isis,Duarte,luigicavalcanti@costa.br,"Via da Rosa
Vila Trinta E Um De Março
62620-414 da Mata / SC",14/01/1955,Feminino,527.610.498-02
Heloísa,Novaes,claricemendes@melo.br,"Pátio Vicente da Cunha, 29
Vila União
61331-227 Ribeiro do Campo / RJ",14/12/2000,Feminino,428.601.975-67
Erick,Jesus,isabella33@martins.br,"Favela Gomes, 1
Conjunto Minas Caixa
96274747 Moraes de Minas / PI",03/10/1984,Masculino,148.056.927-58
Laís,Aragão,klopes@ig.com.br,"Trevo Isabelly Vieira, 9
Vila Ouro Minas
85011297 Rezende das Flores / PR",21/08/1971,Feminino,951.082.347-32
Vitor Gabriel,Ramos,fariascaio@ig.com.br,"Lagoa de Silva
Santa Cecilia
13904372 Moura de da Conceição / AL",27/07/1977,Feminino,320.591.746-43
João Guilherme,Silveira,joao-pedro14@ig.com.br,"Morro Agatha Castro
Maria Tereza
00980427 da Luz / TO",12/12/1970,Masculino,349.768.501-10
Julia,da Cruz,gabriel26@hotmail.com,"Via Freitas, 29
São Benedito
00272636 Aragão Verde / MT",23/04/1970,Feminino,924.586.031-06
Heitor,Freitas,heloisasantos@cardoso.org,"Trecho da Luz, 932
Aarão Reis
31209-353 Vieira / ES",23/12/1946,Masculino,295.386.140-89
Vitor Hugo,Dias,gabrielly92@monteiro.br,"Núcleo de Cardoso, 116
Santana Do Cafezal
12428591 Silveira / RS",20/07/1941,Feminino,986.473.501-20
Sabrina,da Mata,steixeira@correia.com,"Sítio Castro, 59
São Damião
98223044 Peixoto / PA",07/05/1979,Masculino,372.046.819-40
Yago,Cardoso,thiago48@lopes.org,"Fazenda Santos, 29
Sport Club
31912-745 Monteiro / PR",25/03/1978,Feminino,017.429.368-22
Gabriel,da Mota,cardosovicente@uol.com.br,"Estrada Pereira, 28
Vitoria
81407623 Cardoso / SE",12/05/1940,Feminino,807.639.215-21
João Guilherme,da Mata,maria-juliasilveira@cardoso.com,"Via de Cavalcanti, 59
Guaratã
38897882 Silveira da Serra / RO",05/01/1974,Masculino,742.853.096-29
Nicole,Cavalcanti,zalves@bol.com.br,"Lago de da Paz, 625
Novo Santa Cecilia
97067-145 Jesus / MT",28/02/1962,Feminino,349.675.802-38
Fernanda,Lima,novaesluigi@bol.com.br,"Feira Antônio Cardoso, 264
Castanheira
81105776 Aragão de Goiás / TO",05/04/1996,Feminino,356.812.497-19
Pietra,Ramos,luigi75@campos.net,"Largo Teixeira, 73
Nossa Senhora Da Aparecida
52359-970 Cunha / RN",14/06/1986,Feminino,041.658.739-93
Maitê,Pinto,wsouza@yahoo.com.br,"Estação de Costa, 391
Flavio Marques Lisboa
67537088 Pinto de Minas / AL",25/10/1994,Masculino,695.328.047-65
Yago,Moreira,juliasouza@yahoo.com.br,"Rodovia Bruno Carvalho, 7
Dona Clara
73452-085 Silva de Minas / AM",09/01/1950,Feminino,294.687.315-37
Maria Eduarda,da Cruz,benjaminda-costa@yahoo.com.br,"Rua de Cardoso, 45
Universo
02644-286 Fogaça / TO",30/03/2000,Masculino,297.086.134-87
João Vitor,da Rosa,nascimentokamilly@ferreira.com,"Parque Araújo, 14
Santa Rita
18889278 Alves Grande / PR",29/04/1940,Feminino,361.794.852-91
Pedro Lucas,da Paz,vda-paz@fogaca.br,"Vila Nathan da Mota
Vila Primeiro De Maio
47894143 Azevedo / AP",16/08/1965,Feminino,671.952.843-28
Isadora,Moraes,qcampos@porto.br,"Trecho Martins, 14
Conjunto Bonsucesso
85523-828 Monteiro de Moraes / DF",13/02/1965,Feminino,328.560.479-47
Daniela,Gonçalves,wvieira@yahoo.com.br,"Parque da Rosa, 34
Paquetá
42078756 Sales / TO",24/05/1978,Masculino,019.627.385-40
Camila,da Conceição,mcampos@viana.com,"Estação de Porto
Esperança
98617-579 Correia de Cardoso / GO",25/08/1949,Feminino,048.925.376-83
Esther,Viana,gustavo67@ramos.br,"Loteamento Sales, 7
Xodo-Marize
65034930 Lopes de Peixoto / MS",06/06/1996,Masculino,916.754.082-11
Nathan,Teixeira,melomaria-eduarda@gmail.com,"Parque Sofia Farias, 18
Carmo
89758994 da Mota Verde / SC",01/06/1996,Feminino,562.318.407-35
Eloah,Jesus,danielsilveira@hotmail.com,"Estação Camila Souza
Brasil Industrial
13877140 Souza de Barros / DF",19/10/1985,Masculino,364.527.180-53
Danilo,Cavalcanti,fda-rocha@barbosa.com,"Praia Antônio Teixeira, 361
Lorena
06345-839 Viana / SC",08/09/1994,Feminino,270.341.598-23
João Miguel,Nunes,vieiradaniela@uol.com.br,"Via de Ramos, 23
Vila Engenho Nogueira
74943-401 Mendes de Minas / RS",13/05/2000,Feminino,068.273.941-31
Renan,Moreira,silvagabriel@nogueira.br,"Núcleo Diego Monteiro, 491
Vila Novo São Lucas
13889187 Cardoso / RS",17/05/1997,Masculino,382.907.146-96
Lucas,da Cunha,otaviofreitas@uol.com.br,"Quadra Larissa Oliveira, 356
Vila Betânia
17464501 Farias / PB",02/08/1998,Masculino,486.059.231-05
João,Duarte,qpinto@hotmail.com,"Lago Ian Nogueira, 49
Nova Floresta
12641-922 Peixoto da Mata / RN",28/07/1982,Feminino,074.192.863-96
Felipe,Sales,valves@costa.org,"Praça Barbosa
Vila Santo Antônio
95233855 Monteiro do Amparo / AL",30/11/1959,Masculino,874.103.926-22
João Pedro,Freitas,valentinada-cruz@pinto.com,"Viaduto de Campos, 2
Vila Califórnia
72015-578 Correia de Nascimento / TO",24/07/1968,Feminino,310.964.857-10
Francisco,Castro,njesus@pires.net,"Rua Arthur da Conceição, 4
Vila Formosa
14312907 Araújo / AM",09/06/1967,Feminino,470.259.168-11
Otávio,Nunes,luiz-miguelcarvalho@silva.net,"Vale Campos, 10
Castanheira
51255-945 Pereira do Campo / AM",08/12/1958,Feminino,458.069.137-75
Olivia,Barros,calebesouza@da.br,"Parque Freitas
Parque São Pedro
73182-514 Moreira / MS",13/07/1961,Feminino,078.659.123-40
Bianca,Barbosa,nnunes@castro.br,"Residencial Maysa Rodrigues, 35
Engenho Nogueira
61936-268 das Neves do Campo / SP",03/02/1981,Masculino,158.743.029-05
Benjamin,Silva,acaldeira@hotmail.com,"Campo de Almeida, 1
Alípio De Melo
25643-030 Alves / SE",08/07/1984,Masculino,143.285.679-00
Antônio,Novaes,francisco55@da.net,"Recanto Marcelo Silva, 588
Serrano
36518-238 Castro de Moreira / AP",06/01/1979,Masculino,487.630.195-66
Bruno,Costela,augusto34@mendes.br,"Lago Duarte, 388
Barro Preto
05416738 Teixeira / PA",14/12/1970,Masculino,897.640.512-94
Stephany,da Cruz,hda-mota@costela.br,"Campo de Melo, 893
Nova Cintra
55387-401 Costela do Amparo / TO",07/08/1968,Feminino,208.196.574-76
Gustavo,Fogaça,pietrocostela@uol.com.br,"Loteamento de da Mota, 51
Alto Dos Pinheiros
45929-339 Campos Paulista / BA",27/01/1959,Masculino,748.510.693-75
Heitor,Barbosa,nicolasda-mata@cardoso.com,"Setor Alves, 58
Calafate
65649-763 Moreira / ES",22/11/1990,Feminino,917.486.532-37
Stephany,Martins,ferreirasophia@alves.br,"Aeroporto Mariana Mendes
Monte Azul
46103-232 Duarte da Prata / DF",09/09/1996,Feminino,971.042.658-30
Luiz Fernando,Oliveira,gda-paz@uol.com.br,"Fazenda Bianca Farias
Vila Olhos D'água
10832-329 Alves Grande / RN",08/02/1984,Feminino,923.547.601-16
Sarah,da Rocha,laviniada-paz@gmail.com,"Aeroporto Juan Aragão, 71
São Marcos
27630493 Santos / RN",23/11/1953,Feminino,729.615.840-94
Brenda,Silveira,jaragao@ribeiro.br,"Favela Marcelo Pinto, 92
Campo Alegre
63929-527 Porto Alegre / AC",10/05/1944,Feminino,219.806.473-13
Lívia,Ramos,xalmeida@nunes.br,"Aeroporto Nascimento, 3
Pindorama
48034-785 Cunha Paulista / SE",06/02/1943,Feminino,450.219.387-97
Melissa,Azevedo,fda-rocha@ramos.com,"Favela de Silveira, 58
Ademar Maldonado
41779119 Costa / PR",16/06/1991,Masculino,540.861.329-15
Nicole,Lima,nda-mata@bol.com.br,"Rodovia Davi Lucas Ribeiro, 15
Vila Nova Gameleira 3ª Seção
61839005 da Paz / TO",18/08/1980,Feminino,975.312.468-64
João Lucas,da Cruz,agatha21@gmail.com,"Área de Costa, 17
Indaiá
14905-566 da Costa / MS",27/01/1946,Masculino,421.596.738-46
Stephany,Aragão,oda-luz@bol.com.br,"Trecho Almeida, 23
Castanheira
31453-191 Rodrigues / AM",05/07/1980,Masculino,510.389.246-42
Davi,da Cunha,juannovaes@da.br,"Viaduto de Fernandes, 1
Nova Pampulha
12739-588 Costela da Prata / PA",16/03/1998,Masculino,720.951.468-67
Nicolas,Nascimento,isabellyviana@duarte.br,"Chácara Diogo Oliveira, 87
Frei Leopoldo
50590256 Carvalho / ES",07/03/1979,Masculino,820.975.436-00
Isabella,Correia,joao-vitor41@gmail.com,"Estação Heloísa Carvalho
Aparecida 7ª Seção
32991858 da Costa / TO",07/03/1988,Feminino,587.012.634-71
Erick,Viana,xduarte@hotmail.com,"Vale Ana Clara Nascimento, 46
Piraja
94359098 Pereira / RN",01/05/1977,Feminino,615.203.487-62
Mariana,Monteiro,mouragustavo-henrique@gmail.com,"Viela Ana Vitória Moura, 92
Lorena
01183940 Costa de Monteiro / MT",10/11/1971,Masculino,753.619.024-70
Larissa,Novaes,scarvalho@costela.br,"Favela da Costa, 22
Vila Havaí
49201-649 Azevedo / RR",30/07/1983,Feminino,285.307.964-38
Mariana,Fernandes,piresnicolas@lopes.com,"Trevo Juliana Carvalho, 67
Vila Calafate
70755-086 Cardoso / GO",10/09/1939,Feminino,697.084.321-13
Emanuelly,Lopes,juliada-luz@ig.com.br,"Estrada Luiz Otávio Costela, 474
Marilandia
62597-524 Moura de Minas / ES",20/09/1962,Feminino,453.678.102-17
Maria,Novaes,carvalhoenzo-gabriel@ig.com.br,"Colônia Azevedo, 934
Vila Maloca
97438-214 Silva Paulista / MS",02/12/1983,Masculino,941.520.367-61
Samuel,Aragão,miguel94@da.br,"Residencial Ana Luiza da Luz
Santa Helena
02870695 Teixeira / GO",31/05/1966,Feminino,742.915.806-49
Ana Laura,Nascimento,aragaoisabelly@bol.com.br,"Colônia Gabrielly Ramos, 926
Engenho Nogueira
80585861 da Costa / DF",29/08/1999,Masculino,709.184.356-84
Juliana,Souza,da-conceicaoluigi@hotmail.com,"Quadra de Caldeira, 90
Miramar
08840017 Barbosa / DF",15/09/1976,Feminino,342.967.180-96
João Gabriel,da Rosa,diego58@uol.com.br,"Área Guilherme Mendes, 75
Vila Real 2ª Seção
38016726 da Mota / PA",08/08/1948,Masculino,724.908.613-87
João Vitor,Barbosa,omartins@mendes.org,"Via Thales Carvalho, 692
Novo Santa Cecilia
96533-398 Souza / PB",16/10/1944,Feminino,463.902.157-70
Enzo Gabriel,da Costa,nicole36@bol.com.br,"Trevo Teixeira, 15
Cidade Jardim Taquaril
94689210 Gomes / PR",23/08/1969,Feminino,042.986.137-04
Luiz Miguel,Porto,da-cruzlavinia@yahoo.com.br,"Quadra Souza, 953
Engenho Nogueira
85813781 Farias / CE",16/05/1999,Masculino,670.582.349-65
João Felipe,Moreira,ryancarvalho@da.br,"Fazenda Costela
Unidas
97280909 Costa da Praia / DF",23/12/2003,Feminino,759.184.062-20
Beatriz,Campos,ryanmoura@rezende.com,"Conjunto Rafaela Castro, 2
Alto Barroca
75648-345 Aragão / BA",23/06/1988,Feminino,807.361.942-31
Ana Sophia,Carvalho,sporto@moreira.org,"Recanto Eduarda da Rocha
Buraco Quente
64927585 Vieira de da Paz / RN",31/07/1949,Feminino,439.561.207-52
João Guilherme,Cunha,heloisada-mata@uol.com.br,"Residencial Oliveira, 429
Conjunto Serra Verde
93751214 Nogueira de Barros / SE",30/01/1985,Masculino,856.913.204-24
Joana,da Rosa,oliviapires@bol.com.br,"Vila Benício Pires, 3
Santa Helena
76257-975 Lopes / AM",04/08/1980,Feminino,301.986.247-78
